Date,About,Position,Period Number,Period,Total Acceleration Efforts,Total Player Load,Player Load Per Minute,IMA Accel Low,IMA Decel Low,IMA CoD Left Low,IMA CoD Right Low,IMA Accel Medium,IMA Decel Medium,IMA CoD Left Medium,IMA CoD Right Medium,IMA Accel High,IMA Decel High,IMA Accel Total,IMA Decel Total,IMA CoD Left High,IMA CoD Right High,IMA Jump Count Low Band,IMA Jump Count Med Band,IMA Jump Count High Band,Explosive Efforts,Session Total Jumps,Session Accel Low,Session Decel Low,Session CoD Left Low,Session CoD Right Low,Session Accel Med,Session Decel Medium,Session CoD Left Medium,Session CoD Right Medium,Session IMA Accel High,Session Decel High,Session CoD Left High,Session CoD Right High,Session IMA Accel Total,Session IMA Decel Total,Session Jump Count Low Band,Session Jump Count Med Band,Session Jump Count High Band,Session Total Jump,Session Jumps Per Minute,Total CoD Left,Total CoD Right,Total High IMA,Total IMA,IMA/Min,event-uuid,group-uuid
3/13/24,Athlete E,Forward,1,1. Pre Practice,0,228.177,4.9,11,36,40,36,7,11,7,4,3,6,21,53,1,4,18,101,11,14,197,49,82,210,199,19,33,45,55,12,18,11,27,80,133,57,117,23,197,1.75,266,281,91,957,20.67,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,2,2. Drill_Defense_Fake Game_Half Court_1v1,0,30.349,7.4,1,3,20,9,2,1,6,7,2,1,5,5,0,0,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,3,3. Drill_Defense_Ball Screen Breakdown to Rebound_Half Court_5v5,0,27.615,5.1,3,4,12,17,0,1,2,2,1,1,4,6,1,0,7,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,4,4. Play_Defense_Scramble_Half Court_5v5,0,61.841,6.5,11,9,30,42,1,5,10,9,1,4,13,18,3,0,6,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,5,5. Play_Defense_Half Court D_Half Court_5vG,0,60.133,5.3,6,7,34,35,5,4,8,10,1,3,12,14,1,7,6,2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,6,6. Play_Offense_Half Court O_Half Court_5vG,0,77.313,5.9,8,6,31,27,4,4,5,9,3,1,15,11,2,7,4,5,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,7,7. Play_O to D_Full Court_5vG,0,80.173,6.2,8,14,42,32,0,7,7,14,1,2,9,23,3,9,14,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete E,Forward,8,8. Free Throws,0,28.923,2.8,1,3,1,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,735d4b60-9bd0-41d6-a9e5-b94432a01350,f85f0e57-ac6f-4121-b063-b3800e15571d
3/13/24,Athlete O,Forward,1,1. Pre Practice,0,241.863,4.6,6,68,36,34,1,5,7,4,5,1,12,74,2,0,20,159,21,8,288,63,156,177,220,17,40,26,34,12,14,11,4,92,210,78,175,35,288,2.49,214,258,76,1062,20.03,18e8a460-4632-41b6-a9cb-99d3bd371a18,b475b268-92f7-4838-9c3f-7b2ce4071ba2
3/13/24,Athlete O,Forward,2,2. Drill_Defense_Fake Game_Half Court_1v1,0,28.505,6.9,4,5,7,11,2,1,3,3,1,1,7,7,2,1,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,18e8a460-4632-41b6-a9cb-99d3bd371a18,b475b268-92f7-4838-9c3f-7b2ce4071ba2
3/13/24,Athlete O,Forward,3,3. Drill_Defense_Ball Screen Breakdown to Rebound_Half Court_5v5,0,29.773,5.5,10,16,14,14,1,2,1,4,0,1,11,19,0,0,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,18e8a460-4632-41b6-a9cb-99d3bd371a18,b475b268-92f7-4838-9c3f-7b2ce4071ba2
3/13/24,Athlete O,Forward,4,4. Play_Defense_Scramble_Half Court_5v5,0,64.199,6.8,6,15,33,42,4,8,6,8,1,4,11,27,3,1,10,2,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,18e8a460-4632-41b6-a9cb-99d3bd371a18,b475b268-92f7-4838-9c3f-7b2ce4071ba2
3/13/24,Athlete O,Forward,5,5. Play_Defense_Half Court D_Half Court_5vG,0,65.968,5.8,12,13,28,35,3,9,2,6,1,2,16,24,3,1,11,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,18e8a460-4632-41b6-a9cb-99d3bd371a18,b475b268-92f7-4838-9c3f-7b2ce4071ba2
